city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
深圳,乐逗游戏,深圳市创梦天地科技有限公司,移动互联网,南山区,"领导好,企业文化佳",18k-30k,3-5年,数据分析工程师,开发/测试/运维类,数据开发,,3564236,2017-09-04 14:21:28
深圳,乐信,深圳乐信控股有限公司,移动互联网,南山区,"年底双薪,年终奖金,弹性工作,扁平管理",15k-30k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"银行,电商,数据挖掘,建模",3329672,2017-09-04 20:02:35
深圳,海格物流,深圳市海格物流股份有限公司,其他,南山区,"周末双休,培训、福利,可接受应届,五险一金",5k-6k,1-3年,数据分析岗,产品/需求/项目类,数据分析,"房产服务,大数据,专员,助理,数据管理",3616467,2017-09-15 18:24:21
深圳,票据宝pj.com,深圳市票据宝金融服务有限公司,金融,南山区,"弹性时间,丰厚奖金,福利多多,团队氛围好",15k-30k,5-10年,高级数据分析师,开发/测试/运维类,数据开发,"大数据,数据挖掘",3306863,2017-09-15 09:16:20
深圳,瀚德金融,深圳瀚德金融控股有限公司,金融,南山区,带薪年假,15k-20k,1-3年,数据分析师—XWJF,开发/测试/运维类,后端开发,,3466370,2017-09-14 11:10:46
深圳,小闪快送,深圳市小闪快送网络科技有限公司,"移动互联网,O2O",南山区,"股票期权,帅哥美女,零食美食",6k-10k,1-3年,数据分析,市场/商务/销售类,市场/营销,"大数据,SPSS,sas",3535191,2017-09-15 16:34:21
深圳,小鹿乱撞*坏男孩,北京魅动力教育咨询有限公司,移动互联网,南山区,"五险一金,周末双休,定期团建,晋升空间大",5k-10k,1-3年,数据分析,产品/需求/项目类,数据分析,"大数据,数据挖掘,SPSS",3224484,2017-09-05 12:34:46
深圳,雪球金服,深圳市前海雪球科技咨询有限责任公司,金融,福田区,"五险一金,年底双薪,绩效奖金,弹性工作",10k-12k,3-5年,数据分析主管,产品/需求/项目类,数据分析,"移动互联网,大数据,业务运营,数据挖掘,SPSS",3196369,2017-09-15 11:27:17
深圳,爱问科技,深圳爱问科技股份有限公司,"移动互联网,社交网络",南山区,五险一金 年终福利 带薪年假 员工旅游,12k-15k,3-5年,数据分析师（ AW),运营/编辑/客服,运营,"高级,大数据,SPSS,数据管理",3261618,2017-09-15 09:04:19
深圳,腾讯,腾讯科技(深圳)有限公司,"移动互联网 ,游戏",南山区,"五险一金,带薪休假,绩效奖金",20k-40k,5-10年,互娱数据分析经理,市场/商务/销售类,市场/营销,"游戏,动漫,运营,策划,手机游戏,网页游戏",2934956,2017-09-05 11:25:56
