city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
上海,上海第一财经数据,上海第一财经数据科技有限公司,移动互联网,静安区,"医疗保险,带薪休假,弹性工作,补充公积金",10k-15k,3-5年,高级数据分析师,产品/需求/项目类,数据分析,"['大数据', '商业', '数据挖掘', 'SPSS']",3598583,2017-09-15 09:59:02
上海,流量海科技,深圳市流量海科技有限公司,"企业服务,数据服务",徐汇区,"大数据,电信运营商,数据分析",10k-20k,3-5年,数据分析（业务分析）,开发/测试/运维类,数据开发,['金融'],3334236,2017-09-13 09:25:56
上海,上海正也科技,上海正也信息科技有限公司,"移动互联网,企业服务",普陀区,"机遇+挑战,工作氛围佳,发展空间大,期权激励",25k-30k,3-5年,数据分析师,产品/需求/项目类,数据分析,"['大数据', '数据挖掘', 'SPSS']",3045776,2017-09-14 13:07:48
上海,上海元聚,上海元聚网络科技有限公司,移动互联网,闵行区,"高薪,大平台",30k-40k,不限,数据分析总监,产品/需求/项目类,数据分析,"['资深', '大数据', 'BI', '业务运营']",3542216,2017-09-15 19:22:47
上海,美莱集团,上海美莱投资管理有限公司,"医疗健康,电子商务",长宁区,"发展好,前景广,晋升快",8k-12k,1-3年,数据分析师,市场/商务/销售类,市场/营销,"['主管', '数字营销', 'SPSS', 'sas']",3125581,2017-09-14 15:28:47
上海,国泰君安证券股份有限公司,国泰君安证券股份有限公司,金融,浦东新区,国内综合实力最强的证券公司之一,10k-20k,3-5年,移动平台-数据分析工程师,开发/测试/运维类,数据开发,"['金融', '大数据']",2616414,2017-09-04 09:06:03
上海,捞月狗,上海竟跃网络科技有限公司,移动互联网,徐汇区,"压力小,氛围好,年终奖,空间大",6k-12k,1-3年,数据分析师,运营/编辑/客服,运营,"['专员', '运营', '数据管理']",3110876,2017-09-13 13:25:04
上海,饿了么,拉扎斯网络科技（上海）有限公司,移动互联网,普陀区,公司平台大 福利待遇好 团队氛围佳,25k-40k,5-10年,数据分析专家,产品/需求/项目类,数据分析,"['资深', '大数据', '数据挖掘']",3170842,2017-09-16 18:42:22
上海,群星金融,鼎必程（上海）信息技术有限公司,金融,浦东新区,"发展空间,弹性工作",10k-20k,1-3年,数据分析,产品/需求/项目类,数据分析,['数据挖掘'],3358144,2017-09-15 09:46:48
上海,艾奎信息科技,上海艾奎信息科技有限公司,广告营销,长宁区,五百强平台，上升空间大，学习机会多，,6K-8K,1-3年,数据分析师,产品/需求/项目类,数据分析,['专员'],3614285,2017-09-15 13:43:46
上海,Learnta Inc.,北京爱论答科技有限公司,"移动互联网,教育",静安区,"互联网氛围,弹性工作",6k-10k,不限,数据分析师,开发/测试/运维类,数据开发,"['旅游', '数据挖掘', '运营', '编辑']",3556542,2017-09-15 11:13:59
上海,环球车享,环球车享汽车租赁有限公司,"移动互联网,生活服务",嘉定区,"五险一金,补充公积金,餐饮补贴,定期体检",16k-25k,3-5年,高级数据分析主管,产品/需求/项目类,数据分析,"['大数据', '数据挖掘', 'SPSS']",3536469,2017-09-15 09:43:31
上海,华夏信财,华夏信财股权投资管理有限公司,"移动互联网,金融",浦东新区,"领导好,发展空间大",10k-15k,3-5年,数据分析经理,开发/测试/运维类,数据开发,"['金融', 'sas']",3087115,2017-09-11 15:31:50
上海,宜信,普信恒业科技发展（北京）有限公司,金融,浦东新区,"六险一金,弹性工作,优势团队",20k-40k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"['征信', '资深', '数据挖掘', '机器学习']",3549709,2017-08-30 16:27:53
上海,平安租赁,平安国际融资租赁有限公司,金融,浦东新区,五险一金,8k-10k,1-3年,数据分析岗(001255),产品/需求/项目类,产品设计/需求分析,['产品经理'],3416550,2017-08-29 15:35:08
上海,汇付,上海汇付数据服务有限公司,"移动互联网,金融",徐汇区,大数据 福利全 社团多 项目奖 IPO,10k-20k,1-3年,数据分析,技术,数据开发,"['支付', '搜索', '大数据', '算法']",2111657,2017-09-11 10:01:06
上海,数云,杭州数云信息技术有限公司上海分公司,"企业服务,数据服务",徐汇区,"五险一金,带薪年假,福利旅游",10k-15k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"['大数据', '数据挖掘']",3566598,2017-09-15 09:12:40
上海,徙木金融,徙木金融信息服务(上海)有限公司,"金融,数据服务",普陀区,纯线上信贷产品，数据化风控，有趣好玩,10K-20K,1-3年,数据分析经理,金融,风控,"['金融', 'LBS', '社交网络']",2526097,2017-08-26 12:49:59
上海,携程,携程计算机技术（上海）有限公司,"移动互联网,旅游",长宁区,弹性工时 旅游福利 海量数据,15k-20k,1-3年,数据分析师/挖掘,开发/测试/运维类,数据开发,"['大数据', '数据挖掘']",3081631,2017-09-15 09:23:41
上海,中腾信,中腾信金融信息服务（上海）有限公司,金融,虹口区,"背景好,稳定,福利好,环境好",6k-11k,1-3年,数据分析岗,市场/商务/销售类,销售,"['统计', '业务分析']",3582491,2017-09-14 09:56:16
上海,麦图科技,上海麦图信息科技有限公司,数据服务,长宁区,股票期权，带薪年假，弹性工作，扁平管理,10k-15k,不限,数据分析师,技术,DBA,"['大数据', '数据挖掘', 'SPSS']",1429188,2017-09-14 09:53:01
上海,飞榴科技,飞榴（上海）信息科技有限公司,"移动互联网,数据服务",浦东新区,"专业导师,发展空间大,技术核心,高成长团队",5k-10k,1-3年,数据分析工程师,开发/测试/运维类,数据开发,"['中级', 'hadoop', '数据挖掘', '机器学习', '人工智能']",3432654,2017-09-15 21:15:57
上海,饿了么,拉扎斯网络科技（上海）有限公司,移动互联网,普陀区,弹性工作时间，丰厚年终，竞争性薪酬,10k-20k,不限,数据分析师,运营/编辑/客服,运营,"['数据挖掘', 'SPSS', 'sas']",3524961,2017-08-24 13:27:05
上海,泛为,北京泛为信息科技有限公司,"移动互联网,广告营销",浦东新区,"弹性工作,16薪,文化轻松",40k-50k,5-10年,资深数据分析/数据分析专家,开发/测试/运维类,数据开发,"['数据挖掘', '大数据', 'SPSS', 'sas']",3290738,2017-09-15 10:34:24
上海,奥致网络,上海奥致网络科技有限公司,"移动互联网,生活服务",徐汇区,"一年多薪,外企氛围,弹性工作,晋升机会多",9k-14k,1-3年,数据分析主管,产品/需求/项目类,数据分析,"['BI', '可视化', '大数据', 'SPSS', '数据管理']",3492499,2017-08-31 17:55:02
上海,knowyou,诺优信息技术（上海）有限公司,"移动互联网,硬件",徐汇区,"五险一金,节日福利,绩效奖金,员工旅游",10k-15k,1-3年,数据分析工程师,开发/测试/运维类,数据开发,"['大数据', '数据挖掘', 'SPSS']",3553669,2017-09-14 10:42:52
上海,上海金程教育培训有限公司,上海金程国际金融专修学院,教育,杨浦区,"五险一金,绩效奖金,年底双薪,周末双休",4k-6k,应届毕业生,数据分析专员/上海应届毕业生优先,开发/测试/运维类,数据开发,"['金融', '大数据', 'SPSS', 'sas', '数据管理']",3181459,2017-09-15 09:37:43
上海,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司,金融,浦东新区,"互联网,带薪年假,五险一金,福利优",8k-12k,1-3年,数据分析师,产品/需求/项目类,数据分析,"['大数据', 'SPSS']",3318005,2017-09-07 10:26:20
上海,驴妈妈旅游网,上海景域文化传播股份有限公司,"电子商务,旅游",普陀区,公司福利好,4k-8k,1-3年,数据分析,设计,用户研究,[],2415636,2017-09-01 17:03:25
上海,还呗-智能信贷领先者,上海数禾信息科技有限公司,"移动互联网,金融",浦东新区,"移动金融,未来金矿,精英团队,助力成长",6k-12k,1-3年,数据分析师,市场/商务/销售类,市场/营销,[],3433869,2017-09-14 10:01:35
上海,平安人寿,中国平安人寿保险股份有限公司,金融,浦东新区,福利好 晋升空间大 免费班车 专业培训,7k-10k,1-3年,数据分析师,运营/编辑/客服,运营,"['专员', '助理']",3459002,2017-09-14 10:17:04
