21,美丽人生,"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",上映时间：1997-12-20(意大利),9.3
22,海上钢琴师,"主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",上映时间：1998-10-28(意大利),9.2
23,狮子王,"主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",上映时间：1995-07-15,9.0
24,加勒比海盗,"主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",上映时间：2003-11-21,8.9
25,指环王3：王者无敌,"主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2004-03-15,9.2
26,指环王1：护戒使者,"主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2002-04-04,9.1
27,射雕英雄传之东成西就,"主演：张国荣,林青霞,梁朝伟",上映时间：1993-02-05(中国香港),8.9
28,蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",上映时间：2008-07-18(美国),9.3
29,哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森",上映时间：2002-01-26,9.1
30,无间道,"主演：刘德华,梁朝伟,黄秋生",上映时间：2003-09-05,9.1
31,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998-06-01(美国),8.9
32,指环王2：双塔奇兵,"主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2003-04-25,9.1
33,机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",上映时间：2008-06-27(美国),9.3
34,活着,"主演：葛优,巩俐,牛犇",上映时间：1994-05-18(法国),9.0
35,教父2,"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",上映时间：1974-12-12(美国),9.0
36,拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",上映时间：1998-07-24(美国),8.9
37,天堂电影院,"主演：菲利浦·诺瓦雷,塞吉·卡斯特里图,蒂兹亚娜·罗达托",上映时间：1988-11-17(意大利),9.2
38,哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",上映时间：2004-11-20(日本),9.0
39,忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",上映时间：2010-03-12(英国),9.3
40,幽灵公主,"主演：松田洋治,石田百合子,田中裕子",上映时间：1997-07-12(日本),8.9
41,搏击俱乐部,"主演：爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",上映时间：1999-10-15(美国),8.8
42,阿飞正传,"主演：张国荣,张曼玉,刘德华",上映时间：1990-12-15(中国香港),8.8
43,盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",上映时间：2010-09-01,9.2
44,风之谷,"主演：岛本须美,永井一郎,坂本千夏",上映时间：1992,8.9
45,V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",上映时间：2006-03-17(美国),8.8
46,东邪西毒,"主演：张国荣,林青霞,梁朝伟",上映时间：1994-09-17,8.9
47,阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",上映时间：2010-01-04,9.0
48,放牛班的春天,"主演：杰拉尔·朱诺,尚-巴堤·莫里耶,玛丽·布奈尔",上映时间：2004-10-16,8.9
49,疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",上映时间：2013-04-20,9.5
50,当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,桑迪·牛顿",上映时间：2008-01-17,8.9
51,驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",上映时间：2010-05-14,9.0
52,黑客帝国3：矩阵革命,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",上映时间：2003-11-05,8.8
53,神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",上映时间：2010-07-09(美国),9.0
54,勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",上映时间：1995-05-24(美国),8.8
55,飞屋环游记,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",上映时间：2009-08-04,8.9
56,速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",上映时间：2011-05-12,9.2
57,十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",上映时间：1957-04-13(美国),9.1
58,怦然心动,"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",上映时间：2010-08-06(美国),8.9
59,断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",上映时间：2006-01-13(美国),9.0
60,三傻大闹宝莱坞,"主演：阿米尔·汗,黄渤,卡琳娜·卡普",上映时间：2011-12-08,9.1
61,致命魔术,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",上映时间：2006-10-20(美国),8.8
62,少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",上映时间：2012-11-22,9.1
63,谍影重重2,"主演：马特·达蒙,弗兰卡·波坦特,布莱恩·考克斯",上映时间：2004-11-14,8.9
64,鬼子来了,"主演：姜文,姜宏波,陈强",上映时间：2000-05-12(法国戛纳),8.9
65,美丽心灵,"主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",上映时间：2001-12-21(美国),8.8
66,美国往事,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",上映时间：1984-02-17(美国),9.1
67,哈利·波特与死亡圣器（下）,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森",上映时间：2011-08-04,9.0
68,钢琴家,"主演：阿德里安·布洛迪,艾米丽雅·福克斯,米乔·赞布罗斯基",上映时间：2002-09-25(法国),8.8
69,蝙蝠侠：黑暗骑士崛起,"主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",上映时间：2012-08-27,8.9
70,无敌破坏王,"主演：约翰·C·赖利,萨拉·丝沃曼,简·林奇",上映时间：2012-11-06,9.0
71,倩女幽魂,"主演：张国荣,王祖贤,午马",上映时间：2011-04-30,9.1
72,本杰明·巴顿奇事,"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",上映时间：2008-12-25(美国),8.8
73,初恋这件小事,"主演：马里奥·毛瑞尔,阿查拉那·阿瑞亚卫考,平采娜·乐维瑟派布恩",上映时间：2012-06-05,8.8
74,新龙门客栈,"主演：张曼玉,林青霞,梁家辉",上映时间：2012-02-24,8.8
75,大话西游之月光宝盒,"主演：周星驰,莫文蔚,吴孟达",上映时间：2014-10-24,9.6
76,熔炉,"主演：孔刘,郑有美,金智英",上映时间：2011-09-22(韩国),8.8
77,触不可及,"主演：弗朗索瓦·克鲁塞,奥马·希,安乐妮",上映时间：2011-11-02(法国),9.1
78,甜蜜蜜,"主演：黎明,张曼玉,曾志伟",上映时间：2015-02-13,9.2
79,大话西游之大圣娶亲,"主演：周星驰,朱茵,莫文蔚",上映时间：2014-10-24,8.8
80,素媛,"主演：李甄,薛景求,严智媛",上映时间：2013-10-02(韩国),9.1
81,萤火之森,"主演：内山昂辉,佐仓绫音,Hiroki Got?",上映时间：2011-09-17(日本),9.0
82,控方证人,"主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",上映时间：1958-02-06(美国),9.4
83,窃听风暴,"主演：乌尔里希·穆埃,赛巴斯汀?柯赫,马蒂娜·戈黛特",上映时间：2006-03-23(德国),9.0
84,时空恋旅人,"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",上映时间：2013-09-04(英国),8.9
85,穿条纹睡衣的男孩,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",上映时间：2008-09-12(英国),9.0
86,海豚湾,"主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",上映时间：2009-07-31(美国),8.9
87,7号房的礼物,"主演：柳承龙,郑进永,朴信惠",上映时间：2013-01-23(韩国),8.9
88,忠犬八公物语,"主演：仲代达矢,春川真澄,井川比佐志",上映时间：1987-08-01(日本),9.0
89,摩登时代,"主演：查理·卓别林,宝莲·高黛,切斯特·康克林",上映时间：1936-02-25(美国),8.9
90,小鞋子,"主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",上映时间：1999-01-22(美国),9.1
91,上帝之城,"主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱昂德罗·弗米诺",上映时间：2002-08-30(巴西),8.9
92,七武士,"主演：三船敏郎,志村乔,千秋实",上映时间：1954-04-26(日本),9.1
93,一一,"主演：吴念真,金燕玲,李凯莉",上映时间：2000-09-20(法国),8.9
94,完美的世界,"主演：凯文·科斯特纳,克林特·伊斯特伍德,T.J.劳瑟",上映时间：1993-11-24(美国),8.9
95,海洋,"主演：雅克·贝汉,姜文,兰斯洛特·贝汉",上映时间：2011-08-12,9.0
96,城市之光,"主演：查理·卓别林,弗吉尼亚·切瑞尔,亨利·伯格曼",上映时间：1931-01-30(美国),9.2
97,爱·回家,"主演：俞承豪,金艺芬,童孝熙",上映时间：2002-04-05(韩国),9.0
98,东京物语,"主演：笠智众,原节子,杉村春子",上映时间：1953-11-03(日本),9.1
99,我爱你,"主演：宋在河,李彩恩,吉海延",上映时间：2011-02-17(韩国),9.0
100,迁徙的鸟,"主演：雅克·贝汉,菲利普·拉波洛,Philippe Labro",上映时间：2001-12-12(法国),9.1
